Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description,Job Title Classified Group
Children's Minnesota,Minnesota,Clinical Research Associate,Healthcare - Pediatric Hospital,2. Healthcare & Medical,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Healthcare & Clinical
Children's Minnesota,Minnesota,Clinic Assistant,Healthcare - Pediatric Hospital,2. Healthcare & Medical,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Healthcare & Clinical
Children's Minnesota,Minnesota,Digital Transformation Manager,Healthcare - Pediatric Hospital,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Children's Minnesota,Minnesota,Palliative Care Coordinator,Healthcare - Pediatric Hospital,2. Healthcare & Medical,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Healthcare & Clinical
Chobani,Minnesota,Channel Development Manager,Manufacturing - Food - Dairy,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Christensen Farms,Minnesota,General Manager,Manufacturing - Agriculture,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Church of St. Peter,Minnesota,Front Office Receptionist,Nonprofit - Religious,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Administrative & Support
"City of Apple Valley, Mn",Minnesota,Asset Management Technician,Government - Municipal,6. Government & Public Service,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance.",Finance & Accounting
City of Brooklyn Park,Minnesota,Data Analysis Intern,Government - Municipal,6. Government & Public Service,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Government & Public Service
City of Cottage Grove,Minnesota,Parks Maintenance Worker,Government - Municipal,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Government & Public Service
City of Saint Paul,Minnesota,Outreach Advocate,Government - Municipal,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Nonprofit & Social Services
Cj & Associates,Wisconsin,Sales Support Associate,Professional Services - Consulting,7. Professional Services & Consulting,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Sales & Business Development
Clari,Minnesota,Commercial Account Manager,Technology - Revenue Platform,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Sales & Business Development
Cliftonlarsenallen,Minnesota,Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,Entry-level professional who supports senior team members in various business functions.,Finance & Accounting
Cliftonlarsonallen,Minnesota,Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,Entry-level professional who supports senior team members in various business functions.,Finance & Accounting
Cliftonlarsonallen,Minnesota,Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities.",Finance & Accounting
Cliftonlarsonallen,Minnesota,Audit Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls.",Finance & Accounting
Cliftonlarsonallen,Minnesota,Consultant,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Consulting & Advisory
Cliftonlarsonallen,Minnesota,Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities.",Finance & Accounting
CNH Industrial,Minnesota,Product Owner,Manufacturing - Agricultural Equipment,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Operations & Supply Chain
Code Ninjas,Minnesota,Account Specialist,Technology - Education,1. Technology & Software,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Sales & Business Development
Code42,Minnesota,Data Scientist,Technology - Cybersecurity,1. Technology & Software,"Uses advanced analytics, machine learning, and statistical methods to extract insights from complex data sets.",Research & Science
Coin Metrics,Minnesota,Data Quality Engineer,Technology - Cryptocurrency Data,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Data & Analytics
Collabera,Washington,Associate Accounting Manager,Technology - IT Staffing,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Finance & Accounting
"Collins Co., Ltd.",Minnesota,Electrical Engineer,Manufacturing,4. Manufacturing & Industrial,"Designs, develops, and tests electrical equipment, systems, and components.",Engineering
Colonial Life,Minnesota,Application Data Management,Financial Services - Insurance,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Coloplast Interventional Urology,Minnesota,Process Development Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Coloplast Interventional Urology,Minnesota,Design Assurance Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Columbia Heights Public Schools,Minnesota,Behavior Specialist,Education - K-12 Public School,5. Education & Academia,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Education & Teaching
Commerce Express,Minnesota,Business Development Manager,Transportation - Logistics,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Sales & Business Development
Commercial Recreation Specialists,Wisconsin,Sales Coordinator,Retail - Recreation Equipment,8. Retail & Consumer Products,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Sales & Business Development
Community Health Systems Professional Services Corporation,Minnesota,Grain Merchandiser,Healthcare - Hospital Management,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Community Health Systems Professional Services Corporation,Minnesota,Associate Account Director,Healthcare - Hospital Management,2. Healthcare & Medical,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Management & Leadership
Community Health Systems Professional Services Corporation,Minnesota,Supply Planning Manager,Healthcare - Hospital Management,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Community of Peace Academy,Minnesota,Teacher,Education - Charter School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment.",Education & Teaching
Community of Peace Academy,Minnesota,Teacher,Education - Charter School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment.",Education & Teaching
Community of Peace Academy,Minnesota,Teacher,Education - Charter School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment.",Education & Teaching
Community of Saints,Minnesota,Teacher,Education - Private K-12,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment.",Education & Teaching
Concero Search Partners,Wisconsin,Talent Associate,Professional Services - Executive Search,7. Professional Services & Consulting,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Consulting & Advisory
Congo,Minnesota,Brand Executive,Government - International,6. Government & Public Service,"Holds strategic decision-making authority at the senior level, shaping organizational direction and driving high-impact outcomes.",Marketing & Communications
Conservation Corps Minnesota and Iowa,Minnesota,Geriatric Fellow,Nonprofit - Conservation,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Government & Public Service
Cook County Public Schools,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.,Education & Teaching
Copperpoint Insurance Companies,Minnesota,Business Intelligence Engineer,Financial Services - Insurance,3. Financial Services & Insurance,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Data & Analytics
"Core Psychotherapy Center, Ltd.",Minnesota,Psychotherapist,Healthcare - Psychotherapy,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Corporate Technologies,Minnesota,Researcher,Technology - IT Services,1. Technology & Software,Investigates and analyzes complex information to advance organizational knowledge or develop innovative solutions.,Software & IT
Cossettas,Minnesota,Supervisor,Hospitality - Restaurant,8. Retail & Consumer Products,"Oversees daily operations and manages staff performance, ensuring workflows run efficiently and team targets are met.",Management & Leadership
Costco,North Dakota,Cashier,Retail - Warehouse Club,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Sales & Business Development
Cottingham & Butler,Minnesota,,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,,Other
Cottingham & Butler,Minnesota,Insurance Broker,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Coyote Logistics,Minnesota,Business Development Representative,Transportation - Logistics,7. Professional Services & Consulting,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues.",Sales & Business Development
Crenlo,Minnesota,Production Planner,Manufacturing - Metal Enclosures,4. Manufacturing & Industrial,"Develops comprehensive plans and strategies for projects, events, budgets, or community development initiatives.",Operations & Supply Chain
Crew,Minnesota,Business Associate,Retail - Apparel,8. Retail & Consumer Products,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Sales & Business Development
Crosscountry Consulting,Minnesota,Project Specialist,Professional Services - Business Consulting,7. Professional Services & Consulting,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Consulting & Advisory
Crowley Capital Group,Minnesota,,Financial Services - Investment,3. Financial Services & Insurance,,Other
Crowley Capital Group,Minnesota,Vice President of Acquisitions,Financial Services - Investment,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Management & Leadership
Csm Corporation,Minnesota,Recruiter,Construction - General,"10. Construction, Engineering & Real Estate","Sources, screens, and recruits top talent for open positions, managing the full hiring lifecycle from outreach to offer.",Human Resources
Currie & Brown,Minnesota,Data Analyst,Professional Services - Construction Consulting,7. Professional Services & Consulting,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions.",Consulting & Advisory
Currie & Brown,Minnesota,Data Analyst,Professional Services - Construction Consulting,7. Professional Services & Consulting,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions.",Consulting & Advisory
Cushman & Wakefield,Minnesota,Brokerage Coordinator,Real Estate - Commercial Services,"10. Construction, Engineering & Real Estate","Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Engineering
Daikin,Minnesota,Application Engineer,Manufacturing - HVAC,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Software & IT
Daikin,Minnesota,Supply Chain Manager,Manufacturing - HVAC,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Operations & Supply Chain
Dairy Queen,Minnesota,Marketing Administrator,Hospitality - Restaurant,8. Retail & Consumer Products,"Manages systems, processes, and organizational operations to ensure smooth functioning and continuous improvement.",Marketing & Communications
Danfoss,Minnesota,Project Manager,Manufacturing - Industrial Components,4. Manufacturing & Industrial,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources.",Management & Leadership
Data Sales Co.,Minnesota,Accounting Clerk,Technology - IT Products Distribution,1. Technology & Software,"Prepares, reviews, and manages financial records, tax filings, and compliance documentation to maintain fiscal accuracy.",Finance & Accounting
Datasite,Minnesota,Marketing Content Manager,Technology - Financial Software,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Marketing & Communications
David S. Kidwell Funds Enterprise,Minnesota,Equity Research Analyst,Financial Services - Investment,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
DaVita,Colorado,Senior Analyst,Healthcare - Kidney Dialysis,2. Healthcare & Medical,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Healthcare & Clinical
Delkor Corporation,Minnesota,Mechanical Engineer,Manufacturing - Packaging Machines,4. Manufacturing & Industrial,"Designs, develops, and tests mechanical devices, tools, engines, and machines.",Engineering
Field Museum of Natural History,Illinois,Visitor Services Representative,Nonprofit - Museum,6. Government & Public Service,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues.",Government & Public Service
Deloitte,Minnesota,Audit and Assurance Assistant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Finance & Accounting
Deloitte,Minnesota,Audit Assistant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Finance & Accounting
Department of Human Services,Minnesota,Consultant Psychologist,Government - Social Services,6. Government & Public Service,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Healthcare & Clinical
DER Security Corp,Georgia,Software Engineer,Professional Services - Security,7. Professional Services & Consulting,"Designs, develops, tests, and maintains software applications and systems.",Software & IT
Deskera,Minnesota,Sales Development Representative,Technology - Business Software,1. Technology & Software,"Generates new business opportunities through outbound prospecting, cold calling, and email outreach.",Sales & Business Development
DFD Services,Minnesota,Demolition Laborer,Healthcare - Mental Health,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Digikey,Minnesota,Data Architect Consultant,Technology - Electronic Components Distribution,1. Technology & Software,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Data & Analytics
Digineer,Minnesota,Consultant,Technology - IT Services,1. Technology & Software,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Consulting & Advisory
Ford,Illinois,Data Engineer,Manufacturing - Automotive,4. Manufacturing & Industrial,"Designs, builds, and maintains data pipelines and infrastructure that enable data collection, storage, and analysis.",Data & Analytics
Discover Strength,Minnesota,Exercise Physiologist,Health & Fitness - Personal Training,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Diversified Solutions,Minnesota,Quality Control Chemist,Professional Services - Staffing,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Operations & Supply Chain
Domestic Abuse Project,Minnesota,Therapist,Nonprofit - Domestic Violence Services,6. Government & Public Service,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes.",Healthcare & Clinical
Dominium,Minnesota,Corporate Accountant,Real Estate - Affordable Housing,"10. Construction, Engineering & Real Estate","Prepares, reviews, and manages financial records, tax filings, and compliance documentation to maintain fiscal accuracy.",Finance & Accounting
Dominium,Arizona,Land Acquisition Analyst,Real Estate - Affordable Housing,"10. Construction, Engineering & Real Estate","Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Engineering
Donaldson,Minnesota,Pricing Administrator,Manufacturing - Filtration Systems,4. Manufacturing & Industrial,"Manages systems, processes, and organizational operations to ensure smooth functioning and continuous improvement.",Administrative & Support
Donaldson,Minnesota,Business Systems Analyst,Manufacturing - Filtration Systems,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Software & IT
Donaldson,Minnesota,Sales Operations Analyst,Manufacturing - Filtration Systems,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Sales & Business Development
Dramm Corporation,Wisconsin,Financial Analyst,Manufacturing - Horticultural Equipment,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
DSB Rock Island,Minnesota,Evaluation Assistant,Manufacturing - Custom Fabrication,4. Manufacturing & Industrial,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Operations & Supply Chain
Dunwoody College of Technology,Minnesota,Systems Analyst,Education - Technical College,5. Education & Academia,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Software & IT
Duquesne University,Pennsylvania,Teaching Assistant,Education - University,5. Education & Academia,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Education & Teaching
Earlitec Diagnostics,Minnesota,Data Scientist,Healthcare - Diagnostics,2. Healthcare & Medical,"Uses advanced analytics, machine learning, and statistical methods to extract insights from complex data sets.",Research & Science
Earthworks Environmental,Minnesota,Compliance Manager,Professional Services - Environmental,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Finance & Accounting
Eaton Corporation,Wisconsin,Financial Analyst,Manufacturing - Power Management,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
Ecolab,Minnesota,Financial Analyst,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
Ecolab,Minnesota,Finance Team,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Ecolab,Minnesota,Financial Services Associate,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Finance & Accounting
Ecolab,Minnesota,Mechanical Engineer,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"Designs, develops, and tests mechanical devices, tools, engines, and machines.",Engineering
Ecolab,Minnesota,Financial Analyst,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
Ecolab,Minnesota,Principal Electrical Engineer,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Ecolab,Minnesota,Financial Analyst,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting.",Finance & Accounting
Ed Fischer Cartoons,Minnesota,,Media - Cartoonist,8. Retail & Consumer Products,,Other
Eden Prairie Schools,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.,Education & Teaching
Eden Prairie Schools,Minnesota,Special Services Supervisor,Education - K-12 Public School,5. Education & Academia,"Oversees daily operations and manages staff performance, ensuring workflows run efficiently and team targets are met.",Management & Leadership
Full Court Capital,Illinois,Associate,Financial Services - Venture Capital,3. Financial Services & Insurance,Entry-level professional who supports senior team members in various business functions.,Finance & Accounting
Edina Historical Society,Minnesota,On-Site Supervisor,Nonprofit - Historical Society,6. Government & Public Service,"Oversees daily operations and manages staff performance, ensuring workflows run efficiently and team targets are met.",Management & Leadership
Educational Credit Management Corp,Minnesota,,Financial Services - Student Loan Servicing,3. Financial Services & Insurance,,Other
Element Materials Technology,Minnesota,Microbiologist,Manufacturing - Testing & Inspection,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Research & Science
Elucent Medical,Minnesota,Test Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"Develops and executes test plans to validate product functionality, reliability, and performance.",Software & IT
Emergency Care Consultants,Georgia,Medical Scribe,Healthcare - Emergency Medicine,2. Healthcare & Medical,"Documents patient encounters in real-time, assisting physicians with electronic health record documentation.",Healthcare & Clinical
"Emergency Care Consultants, Scribe Program",Wisconsin,Medical Scribe,Healthcare - Emergency Medicine,2. Healthcare & Medical,"Documents patient encounters in real-time, assisting physicians with electronic health record documentation.",Healthcare & Clinical
Emerson Electric,Minnesota,Production Planner,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"Develops comprehensive plans and strategies for projects, events, budgets, or community development initiatives.",Operations & Supply Chain
Emerson Electric,Minnesota,Associate Commodity Manager,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Emerson Electric,Minnesota,Project Engineer,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"Manages technical aspects of engineering projects, coordinating between teams to ensure projects meet specifications and deadlines.",Engineering
Emerson Electric,Minnesota,Product Manager,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"Defines product vision and strategy, prioritizes features, and works with engineering to deliver products.",Management & Leadership
Emerson Measurement Solutions,Minnesota,Production Manager,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Operations & Supply Chain
Enclave Team at Real Brokerage,Minnesota,Front Office Coordinator,Real Estate - Brokerage,"10. Construction, Engineering & Real Estate","Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Engineering
Endeavor Air,Minnesota,Financial Accounting Analyst,Transportation - Regional Airlines,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
English Program in Korea,Minnesota,Teacher,Education - Teaching Abroad,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment.",Education & Teaching
Entegris,Minnesota,Manufacturing Manager,Manufacturing - Semiconductor Materials,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Operations & Supply Chain
Enterprise Rent-A-Car,Minnesota,Account Specialist,Transportation - Car Rental,7. Professional Services & Consulting,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Sales & Business Development
Enterra Medical,Minnesota,Business Analyst,Healthcare - Medical Devices,2. Healthcare & Medical,"Bridges the gap between IT and business by analyzing processes, identifying needs, and recommending data-driven solutions.",Healthcare & Clinical
Epiblock,Minnesota,Vice President of Operations,Healthcare - Pain Management,2. Healthcare & Medical,"Streamlines day-to-day business processes, identifying bottlenecks and implementing improvements to boost efficiency.",Operations & Supply Chain
Epic,Wisconsin,Technical Services Engineer,Technology - Healthcare IT,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Epic,Minnesota,Quality Manager,Technology - Healthcare IT,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Operations & Supply Chain
Epic,Minnesota,Project Manager,Technology - Healthcare IT,1. Technology & Software,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources.",Management & Leadership
Equality Health,Minnesota,Director of Project Management,Healthcare,2. Healthcare & Medical,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Management & Leadership
Ergotron,Minnesota,Software Engineer,Manufacturing - Ergonomic Products,4. Manufacturing & Industrial,"Designs, develops, tests, and maintains software applications and systems.",Software & IT
Ernst & Young,Minnesota,Staff Accountant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Prepares, reviews, and manages financial records, tax filings, and compliance documentation to maintain fiscal accuracy.",Finance & Accounting
Ernst & Young,Minnesota,Associate,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,Entry-level professional who supports senior team members in various business functions.,Consulting & Advisory
Ernst & Young,Minnesota,FSO Assurance Staff,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
Ernst & Young,Minnesota,Staff Auditor,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Reviews financial records and operational procedures to verify accuracy, ensure regulatory compliance, and mitigate risk.",Finance & Accounting
Essentia Health,Minnesota,Division Chair,Healthcare - Hospital System,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Evans Transportation Services,Minnesota,Procurement Representative,Transportation - Logistics,7. Professional Services & Consulting,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues.",Operations & Supply Chain
Evernorth Health Services,Minnesota,Inpatient Care Coordinator,Healthcare - Health Services,2. Healthcare & Medical,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Healthcare & Clinical
Evolution Medical,Minnesota,Technical Services Representative,Healthcare - Medical Products,2. Healthcare & Medical,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues.",Healthcare & Clinical
Excell Academy For Higher Learning,Minnesota,Teacher,Education - Charter School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment.",Education & Teaching
Excell Academy For Higher Learning,Minnesota,Teacher,Education - Charter School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment.",Education & Teaching
ExperienceIT,Minnesota,Data Associate,Technology - IT Education,1. Technology & Software,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Software & IT
ExperienceIT,Minnesota,Data Analyst,Technology - IT Education,1. Technology & Software,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions.",Software & IT
Eye Clinic,Minnesota,Patient Care Coordinator,Healthcare - Ophthalmology,2. Healthcare & Medical,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track.",Healthcare & Clinical
Fabtech Intl. Ltd.,Minnesota,Mechanical Engineer,Manufacturing - Industrial Fabrication,4. Manufacturing & Industrial,"Designs, develops, and tests mechanical devices, tools, engines, and machines.",Engineering
Face Foundrié,Minnesota,Corporate Strategist,Retail - Skincare,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
Fairview Health Services,Minnesota,Family Life Specialist,Healthcare - Hospital System,2. Healthcare & Medical,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Healthcare & Clinical
Fairview Health Services,Minnesota,Laboratory Technician,Healthcare - Hospital System,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance.",Engineering
Fairview Health Services,Minnesota,Laboratory Technician,Healthcare - Hospital System,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance.",Engineering
Fairview Health Services,Minnesota,Nursing Station Technician,Healthcare - Hospital System,2. Healthcare & Medical,"Delivers direct patient care, administers treatments, and collaborates with physicians to support recovery and well-being.",Healthcare & Clinical
Fairview Health Services,Minnesota,Rehabilitation Technician,Healthcare - Hospital System,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance.",Healthcare & Clinical
Fairview Health Services,Minnesota,Psychotherapist,Healthcare - Hospital System,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Fairview Health Services,Minnesota,End User Support Manager,Healthcare - Hospital System,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Management & Leadership
Fairview Health Services,Minnesota,PMO Consultant,Healthcare - Hospital System,2. Healthcare & Medical,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Consulting & Advisory
Fairview Hospital,Minnesota,Nursing,Healthcare - Hospital,2. Healthcare & Medical,"Delivers direct patient care, administers treatments, and collaborates with physicians to support recovery and well-being.",Healthcare & Clinical
Faith in Action,Minnesota,Director of Learning,Nonprofit - Community Service,6. Government & Public Service,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Management & Leadership
Family Alternatives,Minnesota,Social Worker,Nonprofit - Foster Care,6. Government & Public Service,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being.",Healthcare & Clinical
