Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Slate therapy,Minnesota,Post masters fellow,Healthcare - Therapy,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
SouthWest Metro #288,Minnesota,special education teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Post,Minnesota,Associate Director Research and Development,Manufacturing - Food - Cereal,4. Manufacturing & Industrial,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Pact charter school,Minnesota,Intervention teacher,Education - Charter School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Nutiva,Minnesota,Finance Manager,Manufacturing - Organic Food,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Accenture,Minnesota,Managing Director,Technology - IT Consulting,1. Technology & Software,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Suez Water Technologies,Minnesota,Lead Employee Relations Business Partner,Manufacturing - Water Treatment,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Ameriprise Financial,Minnesota,Operations Analyst,Financial Services - Wealth Management,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
University of St. Thomas,Minnesota,Digital Project Manager,Education - University,5. Education & Academia,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
The Lacek Group,Minnesota,Data Analyst,Marketing - Loyalty Marketing,7. Professional Services & Consulting,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions."
James H. Binger Center for New Americans,Minnesota,Social Worker,Nonprofit - Immigration Legal Services,7. Professional Services & Consulting,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being."
LMI,Minnesota,Senior Strategic Analyst,Professional Services - Government Consulting,6. Government & Public Service,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Luminex,Illinois,VP Manufacturing,Healthcare - Diagnostics,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Winnebago Industries,Minnesota,Corporate Responsibility Manager,Manufacturing - Recreational Vehicles,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Jewish Family Service - St. Paul,Minnesota,Care Coordinator,Nonprofit - Social Services,6. Government & Public Service,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
ISD 196,Minnesota,Special education teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Amount,Illinois,Strategic Finance Analyst,Financial Services - Fintech,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
UnitedHealthcare,Wisconsin,Market Chief Medical Officer,Healthcare - Health Insurance,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Sportradar,Minnesota,Assistant Innovation Manager,Entertainment - Sports Data,8. Retail & Consumer Products,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
self-employed consultant,Minnesota,ASD specialist,Self-Employed,Other,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Ameriprise Financial,Minnesota,"Sr. Director, Business Analysis",Financial Services - Wealth Management,3. Financial Services & Insurance,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Normandale Community College,Minnesota,Student Life Involvement Coordinator,Education - Community College,5. Education & Academia,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Wells Fargo,Minnesota,Senior Lead Analytics Consultant,Financial Services - Banking,3. Financial Services & Insurance,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Honeywell,Minnesota,Advanced R&D Engineer,Manufacturing - Diversified Industrial,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Ball Pro,Illinois,Marketing Specialist,Retail - Sports Equipment,8. Retail & Consumer Products,"Develops and executes marketing strategies, campaigns, and promotional activities."
Thomson Reuters,Minnesota,Sr. Digital Marketer,Information Services - Legal & News,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Mayo Clinic,Minnesota,Social Worker,Healthcare - Hospital & Research,2. Healthcare & Medical,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being."
Allianz Life,Minnesota,Principal Auditor,Financial Services - Life Insurance,3. Financial Services & Insurance,"Reviews financial records and operational procedures to verify accuracy, ensure regulatory compliance, and mitigate risk."
Optum,Minnesota,Senior Business Analyst,Healthcare - Health Services & Technology,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Deloitte,Minnesota,Tax Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
St. Luke's Hospital - Duluth,Minnesota,Quality Management Partner,Healthcare - Hospital,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Wilson Law Group,Minnesota,Immigration Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"Assists attorneys with legal research, document drafting, and case management to support litigation and compliance efforts."
MN Pets,Minnesota,Support Specialist,Retail - Pet Store,8. Retail & Consumer Products,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Most Holy Redeemer,Minnesota,Principal,Nonprofit - Religious,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
BÃƒÂ¼hler Inc.,Minnesota,Marketing Communication,Manufacturing - Food Processing Equipment,4. Manufacturing & Industrial,"Promotes products and services through targeted campaigns, compelling content, and data-informed marketing strategies."
Beckman Coulter,Minnesota,Software Verification Engineer,Healthcare - Diagnostics,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
YWCA,Minnesota,Front Desk,Nonprofit - Women's Services,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
WPT Capital Advisors,Minnesota,Director of Construction & Development,Financial Services - Wealth Management,3. Financial Services & Insurance,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Radisson Hotels Americas,Minnesota,Director - IT Security,Hospitality - Hotels,8. Retail & Consumer Products,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Nexus-Gerard Family Healing,Minnesota,Mental health therapist,Nonprofit - Youth Treatment,6. Government & Public Service,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
Securian Asset Management,Minnesota,Mortgage Portfolio Senior Analyst,Financial Services - Asset Management,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Univ of St Thomas,Minnesota,Adjunct Faculty,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Emerson,Minnesota,Product Manager,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"Defines product vision and strategy, prioritizes features, and works with engineering to deliver products."
NetApp,Minnesota,Solutions Architect,Technology - Cloud Data Storage,1. Technology & Software,"Designs structures, systems, or software architectures by applying established principles, codes, and industry standards."
Medtronic,Minnesota,Mechanical Design Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Nystrom and Associates,Minnesota,Outpatient Therapist,Healthcare - Behavioral Health Clinic,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
Sit Investment Associates,Minnesota,Vice President - Fixed Income,Financial Services - Investment Management,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Digi International,Minnesota,Regional Sales Manager,Technology - IoT & Networking,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Boston Scientific,Minnesota,Senior Electrical Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
ICF,Minnesota,Lead Senior Site Reliability Engineer,Professional Services - Consulting,7. Professional Services & Consulting,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Philips,Minnesota,Supply Chain Project Manager,Healthcare - Medical Technology & Consumer Electronics,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
HealthPartners,Minnesota,Data Engineer,Healthcare - Insurance & Hospital System,2. Healthcare & Medical,"Designs, builds, and maintains data pipelines and infrastructure that enable data collection, storage, and analysis."
Regions Hospital,Minnesota,Social Work Care Manager,Healthcare - Hospital,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Ridgeview Medical Center,Minnesota,Clinical Social Worker,Healthcare - Hospital,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Asset Marketing Service,Minnesota,Marketing Coordinator,Marketing - Direct Marketing,7. Professional Services & Consulting,"Supports marketing campaigns, coordinates events, manages social media, and assists with content creation."
SPPS ISD 625,Minnesota,Special Educator/ School Social Worker,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
3M,Minnesota,Point of Sales Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
St Davids Center for Children,Minnesota,Mental Health Practioner III,Nonprofit - Children with Disabilities,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
"KLM Engineering, Inc",Minnesota,Director of Business Development,Engineering - Aerospace MRO,"10. Construction, Engineering & Real Estate","Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Western Michigan University - PhD Counseling Psychology program (Fall 2022),Minnesota,Ph.D. Student,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Thomas Allen,Minnesota,Case Manager,Nonprofit - Employment Services,6. Government & Public Service,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Volunteers of America,Minnesota,Licensed Social Worker,Nonprofit - Social Services,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Washburn Center for Children,Minnesota,Mental Health Case Management Therapist,Nonprofit - Children's Mental Health,6. Government & Public Service,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
BestBuy,Minnesota,Data Engineer,Retail - Electronics,8. Retail & Consumer Products,"Designs, builds, and maintains data pipelines and infrastructure that enable data collection, storage, and analysis."
Pentair,Minnesota,Campus Recruiting Leadwr,Industrial - Water Treatment,Other,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Thomson Reuters,Minnesota,Manager - Corporate Development,Information Services - Legal & News,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
University of St Thomas,Minnesota,Program Specialist,Education - University,5. Education & Academia,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
The Blake School,Minnesota,Director of Visual and Performing Arts,Education - Private K-12,5. Education & Academia,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Target,Minnesota,Senior Data Analyst,Retail - Mass Merchandise,8. Retail & Consumer Products,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Sequel Response,,Data Analyst,Marketing - Direct Response,7. Professional Services & Consulting,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions."
Northeast Metro 916 school district,Minnesota,Special education teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Allina,Minnesota,Clinic manager III,Healthcare - Hospital System,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Toro,Minnesota,Customer Engagement Analyst,Manufacturing - Outdoor Equipment,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
CARE Counseling,Minnesota,Mental health therapist,Healthcare - Mental Health,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
Relate Counseling Center,Minnesota,Outpatient Therapist,Healthcare - Counseling,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
Amazon,Minnesota,Associate,Technology - E-Commerce & Cloud,1. Technology & Software,Entry-level professional who supports senior team members in various business functions.
S Burns Legal PLLC,Minnesota,Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"Assists attorneys with legal research, document preparation, case management, and trial preparation."
Johnston community school,Iowa,Vocal Music teacher,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Connexus Energy,Minnesota,Distribution System Engineer I,Energy - Electric Cooperative,9. Energy & Utilities,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
CARE Counseling,Minnesota,Pre-Licensed Therapist,Healthcare - Mental Health,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
University of MN Physicians,Minnesota,Business Development Analyst,Healthcare - Physician Practice,2. Healthcare & Medical,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Optum,Minnesota,Sr. UX Research Manager,Healthcare - Health Services & Technology,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
United Health Group,Minnesota,Marketing Financial Analyst,Healthcare - Health Insurance & Services,2. Healthcare & Medical,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Twin Cities Academy,Minnesota,Special education teacher,Education - Charter School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Medtronic,Minnesota,"Director, Global Marketing",Healthcare - Medical Devices,2. Healthcare & Medical,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Medtronic,Minnesota,Engineering Program Management,Healthcare - Medical Devices,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Trane Technologies,Minnesota,Principal Program Manager,Manufacturing - HVAC,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
University of St. Thomas,Minnesota,Business Analyst,Education - University,5. Education & Academia,"Bridges the gap between IT and business by analyzing processes, identifying needs, and recommending data-driven solutions."
UHG,Minnesota,Associate Director of Finance,Healthcare - Health Insurance & Services,2. Healthcare & Medical,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
"Steven C. Thal, P.A.",Minnesota,Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"Assists attorneys with legal research, document preparation, case management, and trial preparation."
Fulton Analytics,Minnesota,Data Consultant,Technology - Analytics,1. Technology & Software,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Lake Region Healthcare,Minnesota,Medical Director,Healthcare - Hospital,2. Healthcare & Medical,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
"Steven C. Thal, P.A.",Minnesota,Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"Assists attorneys with legal research, document preparation, case management, and trial preparation."
SetSight,Minnesota,Data Analyst,Technology - Retail Analytics,1. Technology & Software,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions."
DTS,Minnesota,Testing Technician,Technology - Audio Technology,1. Technology & Software,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
U.S. Bank,Minnesota,DBA,Financial Services - Banking,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Sanofi,Minnesota,Key Account Manager,Healthcare - Pharmaceuticals,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
University of St. Thomas,Minnesota,Manager of Admissions Visit Experience,Education - University,5. Education & Academia,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Eden Prairie High School,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Target Corporation,Minnesota,Product Manager,Retail - Mass Merchandise,8. Retail & Consumer Products,"Defines product vision and strategy, prioritizes features, and works with engineering to deliver products."
Veritas Technologies LLC,Minnesota,Principal Quality Assurance Engineer,Technology - Data Management,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Reell Precision Manufacturing,Minnesota,Product Engineering Manager,Manufacturing - Precision Components,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Reed Behavioral Health,Minnesota,Outpatient Therapist,Healthcare - Behavioral Health,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
Big Lake Schools,Minnesota,Elementary Music Teacher,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
White Bear Lake Police Department,Minnesota,Police Sergeant,Government - Law Enforcement,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
KIPP MN,Minnesota,VP of External Affairs,Education - Charter School Network,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
CENTRACARE,Minnesota,"Physician director, Medical subspecialities.",Healthcare - Hospital System,2. Healthcare & Medical,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
"Entegris, Inc",Minnesota,Program Manager,Manufacturing - Semiconductor Materials,4. Manufacturing & Industrial,"Oversees multiple related projects, aligning them with organizational strategy and goals."
3M,Minnesota,Lab Research Engineer,Diversified Technology & Manufacturing,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
City of Mendota Heights,Minnesota,Police Officer,Government - Municipal,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
South Washington County School District,Minnesota,Early Childhood Special Ed. Teacher,Education - K-12 Public School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Hennepin Healthcare,Minnesota,Communications Specialist,Healthcare - Hospital System,2. Healthcare & Medical,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
DuPont water solutions,Minnesota,Quality steward,Manufacturing - Water Treatment,4. Manufacturing & Industrial,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Mayo Clinic,Minnesota,"Faculty physician, regional director of hospital practice/operations",Healthcare - Hospital & Research,2. Healthcare & Medical,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
The Toro Company,Minnesota,Associate Brand Marketing Manager,Manufacturing - Outdoor Equipment,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Holy Spirit Academy,Minnesota,High School Teacher,Education - Private K-12,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences."
Artistry Theater & Visual Arts,Minnesota,Producing Associate,Entertainment - Theater,8. Retail & Consumer Products,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Mps,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Florida Southern College,Minnesota,Community Director,Education - University,5. Education & Academia,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Syngenta,Minnesota,Marketing Lead,Manufacturing - Agrochemicals,4. Manufacturing & Industrial,"Promotes products and services through targeted campaigns, compelling content, and data-informed marketing strategies."
Twelve Consulting Geoup,Minnesota,Anaplan Enablement Lead,Professional Services - Consulting,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Wells Fargo,Minnesota,Software engineer,Financial Services - Banking,3. Financial Services & Insurance,"Designs, develops, tests, and maintains software applications and systems."
CVS Health,Minnesota,Senior Manager,Healthcare - Pharmacy & Health Services,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
ISD 200,Minnesota,Special education teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Seagate Technology,Minnesota,Reliability Telemetry Data Analyst,Manufacturing - Data Storage,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Cboe,Minnesota,Sr Software Engineer,Financial Services - Exchange,3. Financial Services & Insurance,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
MISO,Minnesota,System Operations Engineer,Energy - Regional Transmission Organization,9. Energy & Utilities,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
ViVi Bubble Tea,Minnesota,Owner,Hospitality - Bubble Tea Shop,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Hmong college prep academy,Minnesota,Special Education teacher,Education - Charter School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
(Im)possible Cosmos,Minnesota,Flight Director,Nonprofit - Arts / Social Enterprise,6. Government & Public Service,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
3M,,IT Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
3M,Minnesota,Research Assistant,Diversified Technology & Manufacturing,1. Technology & Software,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
3M,Minnesota,Technology Services Intern,Diversified Technology & Manufacturing,1. Technology & Software,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
3M,Minnesota,Integrated Marketing Coordinator,Diversified Technology & Manufacturing,1. Technology & Software,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
3M,Minnesota,Master Data Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
3M,Minnesota,Web Project Coordinator,Diversified Technology & Manufacturing,1. Technology & Software,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
3M,Minnesota,Subject Matter Expert,Diversified Technology & Manufacturing,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
3M,Minnesota,Auto Body Shop Technician,Diversified Technology & Manufacturing,1. Technology & Software,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Abbott Laboratories,Minnesota,Account Manager,Healthcare - Medical Devices & Pharmaceuticals,2. Healthcare & Medical,"Manages client relationships, ensures customer satisfaction, and identifies growth opportunities."
Abbott Laboratories,Minnesota,IT Analyst,Healthcare - Medical Devices & Pharmaceuticals,2. Healthcare & Medical,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Abbott Laboratories,Minnesota,Research and Development Engineer,Healthcare - Medical Devices & Pharmaceuticals,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Abbott Laboratories,Minnesota,Product Development Engineer,Healthcare - Medical Devices & Pharmaceuticals,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Abcom USA,Minnesota,,Technology - IT Services,1. Technology & Software,
Abcom USA,Minnesota,National Vice President,Technology - IT Services,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Abdur Razzaq Counseling & Social Architecture PA,Minnesota,Chief Executive Officer,Healthcare - Counseling,2. Healthcare & Medical,"Holds strategic decision-making authority at the senior level, shaping organizational direction and driving high-impact outcomes."
Accenture,Minnesota,Consumer Insights Consultant,Technology - IT Consulting,1. Technology & Software,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Acowsay Designs,Minnesota,Special Projects Assistant,Marketing - Design,7. Professional Services & Consulting,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Acr Homes,Minnesota,Direct Care Professional,Healthcare - Residential Care,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
ADP,Minnesota,Associate District Manager,Financial Services - Payroll & HR,3. Financial Services & Insurance,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Advanced Inspection Services,Minnesota,Sales Engineer,Professional Services - Inspection,7. Professional Services & Consulting,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Agency Chief,Minnesota,Member-at-Large,Marketing - Ad Tech,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Alive Risk,Minnesota,Underwriter,Professional Services - Risk Consulting,7. Professional Services & Consulting,Evaluates risk factors to determine appropriate terms and pricing for insurance policies or financial products.
Alliance Bank,Minnesota,Commercial Portfolio Manager,Financial Services - Banking,3. Financial Services & Insurance,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Alliant Engineering,Minnesota,Transportation Engineer,Engineering - Civil & Transportation,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
Allianz,Minnesota,Consultant,Financial Services - Insurance,3. Financial Services & Insurance,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Allianz,Minnesota,Actuarial Analyst,Financial Services - Insurance,3. Financial Services & Insurance,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs."
Allianz,Minnesota,Internal Sales Consultant,Financial Services - Insurance,3. Financial Services & Insurance,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Allianz,Minnesota,Actuarial Analyst,Financial Services - Insurance,3. Financial Services & Insurance,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs."
Allianz,Minnesota,Actuarial Analyst,Financial Services - Insurance,3. Financial Services & Insurance,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs."
Allianz,Minnesota,Director of Strategic Planning,Financial Services - Insurance,3. Financial Services & Insurance,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
Allianz,Minnesota,Principal Financial Analyst,Financial Services - Insurance,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Allianz,Minnesota,Project Manager,Financial Services - Insurance,3. Financial Services & Insurance,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources."
Allianz,Minnesota,Strategic Planning Manager,Financial Services - Insurance,3. Financial Services & Insurance,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Allianz,Minnesota,Operations Analyst,Financial Services - Insurance,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Allina Health,Minnesota,Laboratory Assistant,Healthcare - Hospital System,2. Healthcare & Medical,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Allina Health,Minnesota,Emergency Medical Technician,Healthcare - Hospital System,2. Healthcare & Medical,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
Allina Health,Minnesota,Workday Analyst,Healthcare - Hospital System,2. Healthcare & Medical,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Allina Health,Minnesota,Clinical Services Manager,Healthcare - Hospital System,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
