Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
CARE Counseling,Minnesota,Pre-Independently Licensed Therapist,Healthcare - Mental Health,2. Healthcare & Medical,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Amazon Web Services,Minnesota,Advisory Consultant,Technology - Cloud Computing,1. Technology & Software,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Catalyst Mental Health,Minnesota,Mental Health Therapist,Healthcare - Mental Health,2. Healthcare & Medical,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Mindset Consulting,Minnesota,Sr. IT Program/Project Manager,Professional Services - IT Consulting,7. Professional Services & Consulting,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Railroad,Minnesota,Designer,Transportation - Railroad,7. Professional Services & Consulting,"A professional creative role focused on designing visual, user experience, or product solutions."
3M,Minnesota,eCommerce Marketing Manager for Walmart,Diversified Technology & Manufacturing,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
State of Minnesota,Minnesota,Cloud Application Developer,Government - State,6. Government & Public Service,A professional technical role focused on building and coding software applications or systems.
Children's Minnesota,Minnesota,Social Worker,Healthcare - Pediatric Hospital,2. Healthcare & Medical,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being."
David Hoy and Associates,Minnesota,School Based Counselor,Professional Services - Consulting,7. Professional Services & Consulting,"A professional role providing guidance and support for personal, academic, or career challenges."
Fairview health systems,Minnesota,Mental health professional,Healthcare - Hospital System,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
State of Minnesota,Minnesota,HR Consultant,Government - State,6. Government & Public Service,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Willis Towers Watson,Minnesota,Client Service Manager,Financial Services - Insurance & Advisory,3. Financial Services & Insurance,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Hennepin county,Minnesota,Child protection social worker,Government - County,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
The Toro Company,Minnesota,Sourcing Manager,Manufacturing - Outdoor Equipment,4. Manufacturing & Industrial,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Delta airlines,Minnesota,Associate developer,Transportation - Airlines,7. Professional Services & Consulting,A professional technical role focused on building and coding software applications or systems.
School,Minnesota,Teacher,Education,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Salesforce,Minnesota,Senior success manager,Technology - CRM Software,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Columbia Heights Public Schools,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Community Action Partnership of Ramsey and Washington Counties,Minnesota,"Coordinator, Volunteerism & Internships",Nonprofit - Community Services,6. Government & Public Service,"A professional organizational role that manages logistics, schedules, and communication across teams."
Isd 196,Minnesota,Para,Education - K-12 Public School,5. Education & Academia,A specialized professional role. (Description not available - requires further research.)
Metro Transit Police Department,Minnesota,Police Sergeant,Government - Law Enforcement,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Slate therapy,Minnesota,Post masters fellow,Healthcare - Therapy,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
SouthWest Metro #288,Minnesota,special education teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Post,Minnesota,Associate Director Research and Development,Manufacturing - Food - Cereal,4. Manufacturing & Industrial,A professional senior leadership role setting strategy and overseeing departments or major functions.
Pact charter school,Minnesota,Intervention teacher,Education - Charter School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Nutiva,Minnesota,Finance Manager,Manufacturing - Organic Food,4. Manufacturing & Industrial,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Accenture,Minnesota,Managing Director,Technology - IT Consulting,1. Technology & Software,A professional senior leadership role setting strategy and overseeing departments or major functions.
Suez Water Technologies,Minnesota,Lead Employee Relations Business Partner,Manufacturing - Water Treatment,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
Ameriprise Financial,Minnesota,Operations Analyst,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
University of St. Thomas,Minnesota,Digital Project Manager,Education - University,5. Education & Academia,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
The Lacek Group,Minnesota,Data Analyst,Marketing - Loyalty Marketing,7. Professional Services & Consulting,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions."
James H. Binger Center for New Americans,Minnesota,Social Worker,Nonprofit - Immigration Legal Services,7. Professional Services & Consulting,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being."
LMI,Minnesota,Senior Strategic Analyst,Professional Services - Government Consulting,6. Government & Public Service,A professional analytical role focused on examining data and providing insights to support decisions.
Luminex,Illinois,VP Manufacturing,Healthcare - Diagnostics,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Winnebago Industries,Minnesota,Corporate Responsibility Manager,Manufacturing - Recreational Vehicles,4. Manufacturing & Industrial,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Jewish Family Service - St. Paul,Minnesota,Care Coordinator,Nonprofit - Social Services,6. Government & Public Service,"A professional organizational role that manages logistics, schedules, and communication across teams."
ISD 196,Minnesota,Special education teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Amount,Illinois,Strategic Finance Analyst,Financial Services - Fintech,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
UnitedHealthcare,Wisconsin,Market Chief Medical Officer,Healthcare - Health Insurance,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Sportradar,Minnesota,Assistant Innovation Manager,Entertainment - Sports Data,8. Retail & Consumer Products,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
self-employed consultant,Minnesota,ASD specialist,Self-Employed,Other,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Ameriprise Financial,Minnesota,"Sr. Director, Business Analysis",Financial Services - Wealth Management,3. Financial Services & Insurance,A professional senior leadership role setting strategy and overseeing departments or major functions.
Normandale Community College,Minnesota,Student Life Involvement Coordinator,Education - Community College,5. Education & Academia,"A professional organizational role that manages logistics, schedules, and communication across teams."
Wells Fargo,Minnesota,Senior Lead Analytics Consultant,Financial Services - Banking,3. Financial Services & Insurance,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Honeywell,Minnesota,Advanced R&D Engineer,Manufacturing - Diversified Industrial,4. Manufacturing & Industrial,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Ball Pro,Illinois,Marketing Specialist,Retail - Sports Equipment,8. Retail & Consumer Products,"Develops and executes marketing strategies, campaigns, and promotional activities."
Thomson Reuters,Minnesota,Sr. Digital Marketer,Information Services - Legal & News,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
Mayo Clinic,Minnesota,Social Worker,Healthcare - Hospital & Research,2. Healthcare & Medical,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being."
Allianz Life,Minnesota,Principal Auditor,Financial Services - Life Insurance,3. Financial Services & Insurance,A professional role examining financial records and operations to ensure accuracy and compliance.
Optum,Minnesota,Senior Business Analyst,Healthcare - Health Services & Technology,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
Deloitte,Minnesota,Tax Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
St. Luke's Hospital - Duluth,Minnesota,Quality Management Partner,Healthcare - Hospital,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Wilson Law Group,Minnesota,Immigration Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"A professional assists lawyers with research, document preparation, and case management."
MN Pets,Minnesota,Support Specialist,Retail - Pet Store,8. Retail & Consumer Products,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Most Holy Redeemer,Minnesota,Principal,Nonprofit - Religious,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
BÃƒÂ¼hler Inc.,Minnesota,Marketing Communication,Manufacturing - Food Processing Equipment,4. Manufacturing & Industrial,"A professional role focused on promoting products/services through campaigns, content, and strategy."
Beckman Coulter,Minnesota,Software Verification Engineer,Healthcare - Diagnostics,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
YWCA,Minnesota,Front Desk,Nonprofit - Women's Services,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
WPT Capital Advisors,Minnesota,Director of Construction & Development,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional senior leadership role setting strategy and overseeing departments or major functions.
Radisson Hotels Americas,Minnesota,Director - IT Security,Hospitality - Hotels,8. Retail & Consumer Products,A professional senior leadership role setting strategy and overseeing departments or major functions.
Nexus-Gerard Family Healing,Minnesota,Mental health therapist,Nonprofit - Youth Treatment,6. Government & Public Service,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Securian Asset Management,Minnesota,Mortgage Portfolio Senior Analyst,Financial Services - Asset Management,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Univ of St Thomas,Minnesota,Adjunct Faculty,Education - University,5. Education & Academia,A specialized professional role. (Description not available - requires further research.)
Emerson,Minnesota,Product Manager,Manufacturing - Industrial Automation,4. Manufacturing & Industrial,"Defines product vision and strategy, prioritizes features, and works with engineering to deliver products."
NetApp,Minnesota,Solutions Architect,Technology - Cloud Data Storage,1. Technology & Software,"A professional designs structures, systems, or software architecture following principles and standards."
Medtronic,Minnesota,Mechanical Design Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Nystrom and Associates,Minnesota,Outpatient Therapist,Healthcare - Behavioral Health Clinic,2. Healthcare & Medical,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Sit Investment Associates,Minnesota,Vice President - Fixed Income,Financial Services - Investment Management,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Digi International,Minnesota,Regional Sales Manager,Technology - IoT & Networking,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Boston Scientific,Minnesota,Senior Electrical Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
ICF,Minnesota,Lead Senior Site Reliability Engineer,Professional Services - Consulting,7. Professional Services & Consulting,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Philips,Minnesota,Supply Chain Project Manager,Healthcare - Medical Technology & Consumer Electronics,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
HealthPartners,Minnesota,Data Engineer,Healthcare - Insurance & Hospital System,2. Healthcare & Medical,"Designs, builds, and maintains data pipelines and infrastructure that enable data collection, storage, and analysis."
Regions Hospital,Minnesota,Social Work Care Manager,Healthcare - Hospital,2. Healthcare & Medical,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Ridgeview Medical Center,Minnesota,Clinical Social Worker,Healthcare - Hospital,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Asset Marketing Service,Minnesota,Marketing Coordinator,Marketing - Direct Marketing,7. Professional Services & Consulting,"Supports marketing campaigns, coordinates events, manages social media, and assists with content creation."
SPPS ISD 625,Minnesota,Special Educator/ School Social Worker,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
3M,Minnesota,Point of Sales Analyst,Diversified Technology & Manufacturing,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
St Davids Center for Children,Minnesota,Mental Health Practioner III,Nonprofit - Children with Disabilities,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
"KLM Engineering, Inc",Minnesota,Director of Business Development,Engineering - Aerospace MRO,"10. Construction, Engineering & Real Estate",A professional senior leadership role setting strategy and overseeing departments or major functions.
Western Michigan University - PhD Counseling Psychology program (Fall 2022),Minnesota,Ph.D. Student,Education - University,5. Education & Academia,A specialized professional role. (Description not available - requires further research.)
Thomas Allen,Minnesota,Case Manager,Nonprofit - Employment Services,6. Government & Public Service,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Volunteers of America,Minnesota,Licensed Social Worker,Nonprofit - Social Services,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Washburn Center for Children,Minnesota,Mental Health Case Management Therapist,Nonprofit - Children's Mental Health,6. Government & Public Service,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
BestBuy,Minnesota,Data Engineer,Retail - Electronics,8. Retail & Consumer Products,"Designs, builds, and maintains data pipelines and infrastructure that enable data collection, storage, and analysis."
Pentair,Minnesota,Campus Recruiting Leadwr,Industrial - Water Treatment,Other,A specialized professional role. (Description not available - requires further research.)
Thomson Reuters,Minnesota,Manager - Corporate Development,Information Services - Legal & News,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
University of St Thomas,Minnesota,Program Specialist,Education - University,5. Education & Academia,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
The Blake School,Minnesota,Director of Visual and Performing Arts,Education - Private K-12,5. Education & Academia,A professional senior leadership role setting strategy and overseeing departments or major functions.
Target,Minnesota,Senior Data Analyst,Retail - Mass Merchandise,8. Retail & Consumer Products,A professional analytical role focused on examining data and providing insights to support decisions.
Sequel Response,,Data Analyst,Marketing - Direct Response,7. Professional Services & Consulting,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions."
Northeast Metro 916 school district,Minnesota,Special education teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Allina,Minnesota,Clinic manager III,Healthcare - Hospital System,2. Healthcare & Medical,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Toro,Minnesota,Customer Engagement Analyst,Manufacturing - Outdoor Equipment,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
CARE Counseling,Minnesota,Mental health therapist,Healthcare - Mental Health,2. Healthcare & Medical,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Relate Counseling Center,Minnesota,Outpatient Therapist,Healthcare - Counseling,2. Healthcare & Medical,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Amazon,Minnesota,Associate,Technology - E-Commerce & Cloud,1. Technology & Software,Entry-level professional who supports senior team members in various business functions.
S Burns Legal PLLC,Minnesota,Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"Assists attorneys with legal research, document preparation, case management, and trial preparation."
Johnston community school,Iowa,Vocal Music teacher,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Connexus Energy,Minnesota,Distribution System Engineer I,Energy - Electric Cooperative,9. Energy & Utilities,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
CARE Counseling,Minnesota,Pre-Licensed Therapist,Healthcare - Mental Health,2. Healthcare & Medical,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
University of MN Physicians,Minnesota,Business Development Analyst,Healthcare - Physician Practice,2. Healthcare & Medical,A professional analytical role focused on examining data and providing insights to support decisions.
Optum,Minnesota,Sr. UX Research Manager,Healthcare - Health Services & Technology,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
United Health Group,Minnesota,Marketing Financial Analyst,Healthcare - Health Insurance & Services,2. Healthcare & Medical,A professional analytical role focused on examining data and providing insights to support decisions.
Twin Cities Academy,Minnesota,Special education teacher,Education - Charter School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Medtronic,Minnesota,"Director, Global Marketing",Healthcare - Medical Devices,2. Healthcare & Medical,A professional senior leadership role setting strategy and overseeing departments or major functions.
Medtronic,Minnesota,Engineering Program Management,Healthcare - Medical Devices,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
Trane Technologies,Minnesota,Principal Program Manager,Manufacturing - HVAC,4. Manufacturing & Industrial,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
University of St. Thomas,Minnesota,Business Analyst,Education - University,5. Education & Academia,"Bridges the gap between IT and business by analyzing processes, identifying needs, and recommending data-driven solutions."
UHG,Minnesota,Associate Director of Finance,Healthcare - Health Insurance & Services,2. Healthcare & Medical,A professional senior leadership role setting strategy and overseeing departments or major functions.
"Steven C. Thal, P.A.",Minnesota,Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"Assists attorneys with legal research, document preparation, case management, and trial preparation."
Fulton Analytics,Minnesota,Data Consultant,Technology - Analytics,1. Technology & Software,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Lake Region Healthcare,Minnesota,Medical Director,Healthcare - Hospital,2. Healthcare & Medical,A professional senior leadership role setting strategy and overseeing departments or major functions.
"Steven C. Thal, P.A.",Minnesota,Paralegal,Professional Services - Law Firm,7. Professional Services & Consulting,"Assists attorneys with legal research, document preparation, case management, and trial preparation."
SetSight,Minnesota,Data Analyst,Technology - Retail Analytics,1. Technology & Software,"Collects, processes, and performs statistical analyses on large datasets to help organizations make informed decisions."
DTS,Minnesota,Testing Technician,Technology - Audio Technology,1. Technology & Software,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
U.S. Bank,Minnesota,DBA,Financial Services - Banking,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Sanofi,Minnesota,Key Account Manager,Healthcare - Pharmaceuticals,2. Healthcare & Medical,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
University of St. Thomas,Minnesota,Manager of Admissions Visit Experience,Education - University,5. Education & Academia,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Eden Prairie High School,Minnesota,Special Education Teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Target Corporation,Minnesota,Product Manager,Retail - Mass Merchandise,8. Retail & Consumer Products,"Defines product vision and strategy, prioritizes features, and works with engineering to deliver products."
Veritas Technologies LLC,Minnesota,Principal Quality Assurance Engineer,Technology - Data Management,1. Technology & Software,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Reell Precision Manufacturing,Minnesota,Product Engineering Manager,Manufacturing - Precision Components,4. Manufacturing & Industrial,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Reed Behavioral Health,Minnesota,Outpatient Therapist,Healthcare - Behavioral Health,2. Healthcare & Medical,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Big Lake Schools,Minnesota,Elementary Music Teacher,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
White Bear Lake Police Department,Minnesota,Police Sergeant,Government - Law Enforcement,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
KIPP MN,Minnesota,VP of External Affairs,Education - Charter School Network,5. Education & Academia,A specialized professional role. (Description not available - requires further research.)
CENTRACARE,Minnesota,"Physician director, Medical subspecialities.",Healthcare - Hospital System,2. Healthcare & Medical,A professional senior leadership role setting strategy and overseeing departments or major functions.
"Entegris, Inc",Minnesota,Program Manager,Manufacturing - Semiconductor Materials,4. Manufacturing & Industrial,"Oversees multiple related projects, aligning them with organizational strategy and goals."
3M,Minnesota,Lab Research Engineer,Diversified Technology & Manufacturing,1. Technology & Software,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
City of Mendota Heights,Minnesota,Police Officer,Government - Municipal,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
South Washington County School District,Minnesota,Early Childhood Special Ed. Teacher,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Hennepin Healthcare,Minnesota,Communications Specialist,Healthcare - Hospital System,2. Healthcare & Medical,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
DuPont water solutions,Minnesota,Quality steward,Manufacturing - Water Treatment,4. Manufacturing & Industrial,A specialized professional role. (Description not available - requires further research.)
Mayo Clinic,Minnesota,"Faculty physician, regional director of hospital practice/operations",Healthcare - Hospital & Research,2. Healthcare & Medical,A professional senior leadership role setting strategy and overseeing departments or major functions.
The Toro Company,Minnesota,Associate Brand Marketing Manager,Manufacturing - Outdoor Equipment,4. Manufacturing & Industrial,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Holy Spirit Academy,Minnesota,High School Teacher,Education - Private K-12,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Artistry Theater & Visual Arts,Minnesota,Producing Associate,Entertainment - Theater,8. Retail & Consumer Products,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Mps,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Florida Southern College,Minnesota,Community Director,Education - University,5. Education & Academia,A professional senior leadership role setting strategy and overseeing departments or major functions.
Syngenta,Minnesota,Marketing Lead,Manufacturing - Agrochemicals,4. Manufacturing & Industrial,"A professional role focused on promoting products/services through campaigns, content, and strategy."
Twelve Consulting Geoup,Minnesota,Anaplan Enablement Lead,Professional Services - Consulting,7. Professional Services & Consulting,A specialized professional role. (Description not available - requires further research.)
Wells Fargo,Minnesota,Software engineer,Financial Services - Banking,3. Financial Services & Insurance,"Designs, develops, tests, and maintains software applications and systems."
CVS Health,Minnesota,Senior Manager,Healthcare - Pharmacy & Health Services,2. Healthcare & Medical,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
ISD 200,Minnesota,Special education teacher,Education - K-12 Public School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
Seagate Technology,Minnesota,Reliability Telemetry Data Analyst,Manufacturing - Data Storage,4. Manufacturing & Industrial,A professional analytical role focused on examining data and providing insights to support decisions.
Cboe,Minnesota,Sr Software Engineer,Financial Services - Exchange,3. Financial Services & Insurance,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
MISO,Minnesota,System Operations Engineer,Energy - Regional Transmission Organization,9. Energy & Utilities,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
ViVi Bubble Tea,Minnesota,Owner,Hospitality - Bubble Tea Shop,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Hmong college prep academy,Minnesota,Special Education teacher,Education - Charter School,5. Education & Academia,Adapts curriculum and teaching methods to meet the needs of students with learning disabilities or special needs.
(Im)possible Cosmos,Minnesota,Flight Director,Nonprofit - Arts / Social Enterprise,6. Government & Public Service,A professional senior leadership role setting strategy and overseeing departments or major functions.
3M,,IT Analyst,Diversified Technology & Manufacturing,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
3M,Minnesota,Research Assistant,Diversified Technology & Manufacturing,1. Technology & Software,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
3M,Minnesota,Technology Services Intern,Diversified Technology & Manufacturing,1. Technology & Software,A professional temporary learning position for students or recent graduates to gain professional experience.
3M,Minnesota,Integrated Marketing Coordinator,Diversified Technology & Manufacturing,1. Technology & Software,"A professional organizational role that manages logistics, schedules, and communication across teams."
3M,Minnesota,Master Data Analyst,Diversified Technology & Manufacturing,1. Technology & Software,A professional analytical role focused on examining data and providing insights to support decisions.
3M,Minnesota,Web Project Coordinator,Diversified Technology & Manufacturing,1. Technology & Software,"A professional organizational role that manages logistics, schedules, and communication across teams."
3M,Minnesota,Subject Matter Expert,Diversified Technology & Manufacturing,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
3M,Minnesota,Auto Body Shop Technician,Diversified Technology & Manufacturing,1. Technology & Software,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
Abbott Laboratories,Minnesota,Account Manager,Healthcare - Medical Devices & Pharmaceuticals,2. Healthcare & Medical,"Manages client relationships, ensures customer satisfaction, and identifies growth opportunities."
Abbott Laboratories,Minnesota,IT Analyst,Healthcare - Medical Devices & Pharmaceuticals,2. Healthcare & Medical,A professional analytical role focused on examining data and providing insights to support decisions.
Abbott Laboratories,Minnesota,Research and Development Engineer,Healthcare - Medical Devices & Pharmaceuticals,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Abbott Laboratories,Minnesota,Product Development Engineer,Healthcare - Medical Devices & Pharmaceuticals,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Abcom USA,Minnesota,,Technology - IT Services,1. Technology & Software,
Abcom USA,Minnesota,National Vice President,Technology - IT Services,1. Technology & Software,A specialized professional role. (Description not available - requires further research.)
Abdur Razzaq Counseling & Social Architecture PA,Minnesota,Chief Executive Officer,Healthcare - Counseling,2. Healthcare & Medical,A professional senior leadership role with strategic decision-making authority.
Accenture,Minnesota,Consumer Insights Consultant,Technology - IT Consulting,1. Technology & Software,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Acowsay Designs,Minnesota,Special Projects Assistant,Marketing - Design,7. Professional Services & Consulting,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Acr Homes,Minnesota,Direct Care Professional,Healthcare - Residential Care,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
ADP,Minnesota,Associate District Manager,Financial Services - Payroll & HR,3. Financial Services & Insurance,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Advanced Inspection Services,Minnesota,Sales Engineer,Professional Services - Inspection,7. Professional Services & Consulting,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Agency Chief,Minnesota,Member-at-Large,Marketing - Ad Tech,7. Professional Services & Consulting,A specialized professional role. (Description not available - requires further research.)
Alive Risk,Minnesota,Underwriter,Professional Services - Risk Consulting,7. Professional Services & Consulting,A professional assesses and evaluates risk to determine insurance or loan terms and pricing.
Alliance Bank,Minnesota,Commercial Portfolio Manager,Financial Services - Banking,3. Financial Services & Insurance,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Alliant Engineering,Minnesota,Transportation Engineer,Engineering - Civil & Transportation,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Allianz,Minnesota,Consultant,Financial Services - Insurance,3. Financial Services & Insurance,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Allianz,Minnesota,Actuarial Analyst,Financial Services - Insurance,3. Financial Services & Insurance,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs."
Allianz,Minnesota,Internal Sales Consultant,Financial Services - Insurance,3. Financial Services & Insurance,A professional advisory role providing expert guidance and recommendations to clients or internal teams.
Allianz,Minnesota,Actuarial Analyst,Financial Services - Insurance,3. Financial Services & Insurance,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs."
Allianz,Minnesota,Actuarial Analyst,Financial Services - Insurance,3. Financial Services & Insurance,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs."
Allianz,Minnesota,Director of Strategic Planning,Financial Services - Insurance,3. Financial Services & Insurance,A professional senior leadership role setting strategy and overseeing departments or major functions.
Allianz,Minnesota,Principal Financial Analyst,Financial Services - Insurance,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Allianz,Minnesota,Project Manager,Financial Services - Insurance,3. Financial Services & Insurance,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources."
Allianz,Minnesota,Strategic Planning Manager,Financial Services - Insurance,3. Financial Services & Insurance,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Allianz,Minnesota,Operations Analyst,Financial Services - Insurance,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Allina Health,Minnesota,Laboratory Assistant,Healthcare - Hospital System,2. Healthcare & Medical,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Allina Health,Minnesota,Emergency Medical Technician,Healthcare - Hospital System,2. Healthcare & Medical,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
