Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Scientist,Research & Science,McGough Construction,Construction / Engineering / Real Estate,IL
Data Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Electrical Engineer,Engineering,Deloitte,Financial Services & Insurance,CA
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Program Coordinator,Nonprofit & Social Services,Grant Thornton,Professional Services & Consulting,TX
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2019,Teacher,Education & Teaching,Minneapolis Public Schools,Education & Academia,CA
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2020,Registered Nurse,Healthcare & Clinical,Minneapolis Public Schools,Education & Academia,FL
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Inside Sales Rep,Sales & Business Development,Securian Financial,Financial Services & Insurance,CA
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Underwriter,Finance & Accounting,Cargill,Retail & Consumer Products,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Account Manager,Sales & Business Development,Accenture,Professional Services & Consulting,ND
English,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2024,Case Manager,Nonprofit & Social Services,Kraus-Anderson,Construction / Engineering / Real Estate,NE
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Policy Analyst,Government & Public Service,CBRE Group,Construction / Engineering / Real Estate,IA
Data Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,Program Coordinator,Nonprofit & Social Services,CBRE Group,Construction / Engineering / Real Estate,GA
Economics,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2020,Office Coordinator,Administrative & Support,Mortenson,Construction / Engineering / Real Estate,IL
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2020,Specialist,Other,Minneapolis Public Schools,Education & Academia,MN
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Marketing Coordinator,Marketing & Communications,Kraus-Anderson,Construction / Engineering / Real Estate,GA
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Data Scientist,Data & Analytics,St. Paul Public Schools,Education & Academia,GA
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,HR Generalist,Human Resources,Allianz,Financial Services & Insurance,IL
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Software Engineer,Software & IT,Fastenal,Retail & Consumer Products,SD
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,City Planner,Government & Public Service,General Mills,Retail & Consumer Products,WA
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Quantitative Analyst,Data & Analytics,Abbott Laboratories,Healthcare & Medical,MN
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Web Developer,Software & IT,Great River Energy,Energy & Utilities,FL
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2020,Talent Acquisition Specialist,Human Resources,AmeriCorps,Government & Public Service,SD
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Registered Nurse,Healthcare & Clinical,Fairview,Healthcare & Medical,TX
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2025,Program Coordinator,Nonprofit & Social Services,University of St. Thomas,Education & Academia,FL
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Business Development Associate,Sales & Business Development,Target,Retail & Consumer Products,CO
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2025,Office Manager,Administrative & Support,Accenture,Technology & Software,MN
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Auditor,Finance & Accounting,KPMG,Financial Services & Insurance,MN
COJO Journalism,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2020,HR Generalist,Human Resources,AmeriCorps,Government & Public Service,ND
Exercise Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Program Coordinator,Nonprofit & Social Services,McKinsey,Professional Services & Consulting,MA
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Social Worker,Nonprofit & Social Services,Cargill,Manufacturing & Industrial,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Education Coordinator,Education & Teaching,Securian Financial,Financial Services & Insurance,ND
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2019,Social Worker,Nonprofit & Social Services,State of Minnesota,Government & Public Service,MA
Data Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Clinical Research Coordinator,Healthcare & Clinical,Intel,Technology & Software,IA
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Tax Associate,Finance & Accounting,Target (Tech),Technology & Software,MA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Underwriter,Finance & Accounting,KPMG,Professional Services & Consulting,MN
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Business Analyst,Consulting & Advisory,Kraus-Anderson,Construction / Engineering / Real Estate,GA
Economics - Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Scientist,Research & Science,IBM,Technology & Software,IL
Civil Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,Social Worker,Nonprofit & Social Services,Optum,Technology & Software,MN
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Talent Acquisition Specialist,Human Resources,EY,Professional Services & Consulting,MN
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Mechanical Engineer,Engineering,AWS,Technology & Software,IL
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Tutor,Education & Teaching,Land O'Lakes,Retail & Consumer Products,MN
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,HR Coordinator,Human Resources,Abbott Northwestern Hospital,Healthcare & Medical,WA
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Financial Analyst,Finance & Accounting,Great River Energy,Energy & Utilities,SD
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Program Manager,Management & Leadership,Target,Retail & Consumer Products,MA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Accountant,Finance & Accounting,McGough Construction,Construction / Engineering / Real Estate,MA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Account Manager,Sales & Business Development,General Mills,Manufacturing & Industrial,IL
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,HR Coordinator,Human Resources,KPMG,Professional Services & Consulting,NE
Biochemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2025,Medical Assistant,Healthcare & Clinical,EY,Financial Services & Insurance,MN
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Underwriter,Finance & Accounting,KPMG,Financial Services & Insurance,WA
Economics - Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Accountant,Finance & Accounting,KPMG,Professional Services & Consulting,MN
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Tutor,Education & Teaching,Microsoft,Technology & Software,NE
Environmental Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Graphic Designer,Design & Creative,Allina Health,Healthcare & Medical,WA
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Recruiter,Human Resources,Grant Thornton,Professional Services & Consulting,FL
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Program Coordinator,Nonprofit & Social Services,CBRE Group,Construction / Engineering / Real Estate,OH
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Brand Manager,Marketing & Communications,McGough Construction,Construction / Engineering / Real Estate,MN
English,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2024,Sales Representative,Sales & Business Development,Ryan Companies,Construction / Engineering / Real Estate,NY
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,PR Specialist,Marketing & Communications,Target (Tech),Technology & Software,MN
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Instructor,Education & Teaching,Cargill,Retail & Consumer Products,SD
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2024,Public Administrator,Government & Public Service,Wayzata Public Schools,Education & Academia,TX
Biochemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Business Intelligence Analyst,Data & Analytics,Mortenson,Construction / Engineering / Real Estate,CA
Chemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Physical Therapist,Healthcare & Clinical,Allina Health,Healthcare & Medical,CO
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Specialist,Other,Medtronic,Healthcare & Medical,CO
Economics,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2025,Social Media Manager,Marketing & Communications,PwC,Professional Services & Consulting,CA
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Underwriter,Finance & Accounting,CBRE Group,Construction / Engineering / Real Estate,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Brand Manager,Marketing & Communications,Deloitte,Professional Services & Consulting,GA
International Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Account Executive,Sales & Business Development,KPMG,Financial Services & Insurance,IA
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Site Supervisor,Construction & Trades,Honeywell,Manufacturing & Industrial,NY
Criminal Justice,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2021,Operations Manager,Operations & Supply Chain,Cargill,Retail & Consumer Products,ND
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2022,DevOps Engineer,Software & IT,Accenture,Technology & Software,CO
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Advisory Associate,Consulting & Advisory,Microsoft,Technology & Software,IA
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Business Intelligence Analyst,Data & Analytics,IBM,Technology & Software,FL
Operations Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Multimedia Specialist,Design & Creative,Allianz,Financial Services & Insurance,CA
Middle/Secondary Education,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Analytics Consultant,Data & Analytics,Osseo Area Schools,Education & Academia,NY
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,UX Designer,Design & Creative,Deloitte,Financial Services & Insurance,MN
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Creative Director,Design & Creative,General Mills,Retail & Consumer Products,SD
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Lab Technician,Research & Science,Allianz,Financial Services & Insurance,WI
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2020,Assistant Manager,Management & Leadership,City of Minneapolis,Government & Public Service,MN
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Lab Technician,Research & Science,General Mills,Retail & Consumer Products,MN
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Project Manager,Management & Leadership,Boston Consulting Group,Professional Services & Consulting,GA
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Research Scientist,Research & Science,Allianz,Financial Services & Insurance,CA
Operations Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Contract Specialist,Legal,Mortenson,Construction / Engineering / Real Estate,WA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Inside Sales Rep,Sales & Business Development,UnitedHealth Group,Healthcare & Medical,NY
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2019,City Planner,Government & Public Service,Kraus-Anderson,Construction / Engineering / Real Estate,ND
Data Analytics,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Systems Administrator,Software & IT,Xcel Energy,Energy & Utilities,SD
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Community Outreach Specialist,Nonprofit & Social Services,Xcel Energy,Energy & Utilities,FL
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Case Manager,Nonprofit & Social Services,Wells Fargo,Financial Services & Insurance,MN
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,Project Manager,Management & Leadership,Fairview,Healthcare & Medical,NE
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Account Executive,Sales & Business Development,Accenture,Technology & Software,CA
Exercise Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Data Scientist,Data & Analytics,Children's Minnesota,Healthcare & Medical,TX
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Paralegal,Legal,Target (Tech),Technology & Software,WI
International Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Program Manager,Management & Leadership,PwC,Financial Services & Insurance,MN
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Recruiter,Human Resources,Sleep Number,Retail & Consumer Products,CO
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Real Estate Analyst,Real Estate,Sleep Number,Retail & Consumer Products,MA
History,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2021,Teacher,Education & Teaching,Medtronic,Healthcare & Medical,IL
COJO Strategic Communications,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2025,Operations Analyst,Operations & Supply Chain,Google,Technology & Software,MN
Digital Media Arts,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2023,Creative Director,Design & Creative,Boston Consulting Group,Professional Services & Consulting,IA
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Marketing Coordinator,Marketing & Communications,Abbott Northwestern Hospital,Healthcare & Medical,TX
Human Resources Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Business Intelligence Analyst,Data & Analytics,EY,Financial Services & Insurance,TX
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Executive Assistant,Administrative & Support,Deloitte,Professional Services & Consulting,OH
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Account Executive,Sales & Business Development,McGough Construction,Construction / Engineering / Real Estate,TX
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2019,Case Manager,Nonprofit & Social Services,Abbott Laboratories,Healthcare & Medical,WI
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Real Estate Analyst,Real Estate,Fastenal,Retail & Consumer Products,WI
Music,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2022,Clinical Research Associate,Research & Science,Sleep Number,Retail & Consumer Products,IA
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Specialist,Other,Optum,Healthcare & Medical,IL
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2022,Financial Analyst,Finance & Accounting,Honeywell,Manufacturing & Industrial,NY
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Account Manager,Sales & Business Development,Ryan Companies,Construction / Engineering / Real Estate,MN
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,Tutor,Education & Teaching,Target (Tech),Technology & Software,ND
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Case Manager,Nonprofit & Social Services,3M,Technology & Software,SD
Economics,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2024,Strategy Analyst,Consulting & Advisory,EY,Professional Services & Consulting,WA
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Medical Assistant,Healthcare & Clinical,Abbott Northwestern Hospital,Healthcare & Medical,SD
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,IT Analyst,Software & IT,Fairview,Healthcare & Medical,OH
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Clinical Research Associate,Research & Science,Optum,Healthcare & Medical,CA
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Program Coordinator,Nonprofit & Social Services,EY,Professional Services & Consulting,MN
International Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Assistant Manager,Management & Leadership,Land O'Lakes,Retail & Consumer Products,MN
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2019,Software Engineer,Software & IT,McKinsey,Professional Services & Consulting,SD
Music - Business,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2025,Benefits Analyst,Human Resources,General Mills,Retail & Consumer Products,OH
Economics - Business,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Electrical Engineer,Engineering,Wells Fargo,Financial Services & Insurance,MN
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2019,Physical Therapist,Healthcare & Clinical,University of St. Thomas,Education & Academia,MN
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Financial Analyst,Finance & Accounting,General Mills,Manufacturing & Industrial,OH
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Financial Analyst,Finance & Accounting,US Bank,Financial Services & Insurance,WA
Sociology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2023,Legal Coordinator,Legal,Mortenson,Construction / Engineering / Real Estate,GA
Public Health,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Research Assistant,Research & Science,Abbott Northwestern Hospital,Healthcare & Medical,GA
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Analyst,Other,KPMG,Professional Services & Consulting,GA
Data Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,DevOps Engineer,Software & IT,Best Buy,Retail & Consumer Products,WI
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Government Affairs Specialist,Government & Public Service,PwC,Professional Services & Consulting,NE
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Advisory Associate,Consulting & Advisory,Deloitte,Financial Services & Insurance,WI
Public Health,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Medical Assistant,Healthcare & Clinical,Google,Technology & Software,IA
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Mechanical Engineer,Engineering,Abbott Northwestern Hospital,Healthcare & Medical,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Clinical Research Associate,Research & Science,Mortenson,Construction / Engineering / Real Estate,NE
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Benefits Analyst,Human Resources,Ryan Companies,Construction / Engineering / Real Estate,SD
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,PR Specialist,Marketing & Communications,Mortenson,Construction / Engineering / Real Estate,MN
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2022,Recruiter,Human Resources,Deloitte,Financial Services & Insurance,NE
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Financial Analyst,Finance & Accounting,Fairview,Healthcare & Medical,WI
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Associate,Other,St. Paul Public Schools,Education & Academia,NY
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Social Media Manager,Marketing & Communications,Wells Fargo,Financial Services & Insurance,MN
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Program Manager,Management & Leadership,Great River Energy,Energy & Utilities,TX
Social Work,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Consultant,Consulting & Advisory,Kraus-Anderson,Construction / Engineering / Real Estate,WA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Account Manager,Sales & Business Development,Target,Retail & Consumer Products,MN
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2020,Talent Acquisition Specialist,Human Resources,KPMG,Professional Services & Consulting,MN
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Contract Specialist,Legal,Target (Tech),Technology & Software,IA
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Business Intelligence Analyst,Data & Analytics,US Army,Government & Public Service,IA
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2021,Analyst,Other,Medtronic,Manufacturing & Industrial,WI
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Underwriter,Finance & Accounting,Ryan Companies,Construction / Engineering / Real Estate,MN
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2020,Research Assistant,Research & Science,Intel,Technology & Software,ND
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Account Manager,Sales & Business Development,McKinsey,Professional Services & Consulting,NE
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Office Coordinator,Administrative & Support,Toro Company,Manufacturing & Industrial,OH
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Software Engineer,Software & IT,Xcel Energy,Energy & Utilities,IA
Biochemistry,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2024,Design Engineer,Engineering,PwC,Financial Services & Insurance,CA
Philosophy,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2020,Site Supervisor,Construction & Trades,Fairview,Healthcare & Medical,MN
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2022,Inspector,Construction & Trades,Allina Health,Healthcare & Medical,MA
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Advisory Associate,Consulting & Advisory,EY,Professional Services & Consulting,MN
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2023,Strategy Analyst,Consulting & Advisory,Children's Minnesota,Healthcare & Medical,NE
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Research Assistant,Research & Science,Fairview,Healthcare & Medical,IL
Actuarial Science,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Brand Manager,Marketing & Communications,Allianz,Financial Services & Insurance,WI
Manufacturing Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Supply Chain Coordinator,Operations & Supply Chain,Donaldson Company,Manufacturing & Industrial,NY
Strategic Comm: Ad and PR,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2023,Marketing Coordinator,Marketing & Communications,General Mills,Retail & Consumer Products,GA
Civil Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2022,Site Supervisor,Construction & Trades,NextEra Energy,Energy & Utilities,CO
Accounting,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Medical Assistant,Healthcare & Clinical,Children's Minnesota,Healthcare & Medical,MN
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,IT Analyst,Software & IT,KPMG,Professional Services & Consulting,NE
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Social Media Manager,Marketing & Communications,Securian Financial,Financial Services & Insurance,NE
Middle/Secondary Education,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2022,Management Consultant,Consulting & Advisory,Minneapolis Public Schools,Education & Academia,SD
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Registered Nurse,Healthcare & Clinical,3M,Technology & Software,MA
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Operations Director,Management & Leadership,Optum,Technology & Software,NY
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Construction Manager,Construction & Trades,Wells Fargo,Financial Services & Insurance,GA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,Financial Analyst,Finance & Accounting,UnitedHealth Group,Technology & Software,MN
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2022,Data Analyst,Data & Analytics,RBC Wealth Management,Financial Services & Insurance,MN
Digital Media Arts,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2025,Creative Director,Design & Creative,KPMG,Professional Services & Consulting,OH
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Research Scientist,Research & Science,KPMG,Financial Services & Insurance,IA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2023,HR Coordinator,Human Resources,Land O'Lakes,Retail & Consumer Products,NY
Criminal Justice,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2022,Scientist,Research & Science,AmeriCorps,Government & Public Service,IA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Real Estate Analyst,Real Estate,KPMG,Financial Services & Insurance,CA
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2021,Management Consultant,Consulting & Advisory,Mortenson,Construction / Engineering / Real Estate,MN
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Coordinator,Other,3M,Technology & Software,ND
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2025,Data Analyst,Data & Analytics,Donaldson Company,Manufacturing & Industrial,GA
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Research Scientist,Research & Science,Mortenson,Construction / Engineering / Real Estate,NY
